title;url;source_name;publication_date;subtitle;text_news;image_link;video_link;authors;categories;tags;obtained_at;rating
Foto da Esplanada atribuída ao Sete de Setembro de 2021 foi registrada neste ano;https://www.aosfatos.org/noticias/foto-esplanada-sete-de-setembro-2021-2022/;Aos Fatos;2022-09-08;;Não foi registrada em 2021 uma foto usada para comparar, erroneamente, o ato bolsonarista no Sete de Setembro do ano passado com o de 2022, como afirmam postagens nas redes sociais (veja aqui). A imagem que mostra a Esplanada dos Ministérios lotada também foi registrada em 2022, foi publicada pelo jornalFolha de S.Pauloe na peça é creditada como se fosse do governo federal. A foto em que aparece a esplanada em um plano mais aberto foi tirada por Sergio Lima, do sitePoder360.;;;;;;;Falso
Vídeo de ato em Copacabana em 2021 volta a circular como se fosse deste ano;https://www.aosfatos.org/noticias/video-sete-setembro-copacabana-volta-a-circular-como-atual/;Aos Fatos;2022-09-07;;Um vídeo que mostra uma multidão na praia de Copacabana, no Rio de Janeiro, não foi gravado durante a comemoração do Sete de Setembro deste ano, como afirmam postagens nas redes sociais (veja aqui). As imagens compartilhadas na postagem foram registradas em um ato de apoiadores do presidente Jair Bolsonaro (PL) que aconteceu na data da comemoração da Independência em 2021 e foram compartilhadas pelo então secretário de Cultura, Mário Frias (PL), em seu perfil oficial no Twitter.;;;;;;;Falso
É falso que comandante avisou que Exército prenderá políticos e ministros no 7 de Setembro;https://www.aosfatos.org/noticias/comandante-exercito-politicos-ministros-7-de-setembro/;Aos Fatos;2022-09-06;;Não é verdade que o comandante do Exército, general Marco Antônio Freire Gomes, avisou durante reunião na Comissão de Relações Exteriores da Câmara dos Deputados que o Exército tem que prender políticos e ministros corruptos no dia 7 de setembro deste ano, como afirmam postagens (veja aqui). O trecho original se refere à possibilidade de o Brasil se engajar em um conflito armado com outros países da América Latina e defende o tamanho das Forças Armadas brasileiras. Ele não cita a data em que se comemora a independência do Brasil.;;;;;;;Falso
Tony Ramos não declarou apoio a Lula em vídeo;https://www.aosfatos.org/noticias/tony-ramos-nao-declarou-apoio-a-lula-em-video/;Aos Fatos;2022-09-02;;Não é verdade que um vídeo compartilhado nas redes sociais mostra o ator Tony Ramos declarando apoio ao ex-presidente e candidato do PT à Presidência, Luiz Inácio Lula da Silva (veja aqui). As postagens adicionaram uma legenda enganosa sobre um trecho da participação do ator no programa Mais Você, da TV Globo, em que ele fala de respeito e afeto ao responder a homenagens de colegas de trabalho. Em entrevista recente, o ator afirmou que não revelará seu voto e que nunca manifestou apoio a políticos.;;;;;;;Falso
O que é falso e o que é fato em declarações de Lula sobre absolvições na ONU e na Justiça;https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-fato-em-declaracoes-de-lula-sobre-absolvicoes-na-onu-e-na-justica/;Aos Fatos;2022-09-02;;Nodebate de domingo(28), o ex-presidente e atual candidato do PT à Presidência, Luiz Inácio Lula da Silva, usou o verbo “absolver” para se referir à sua situação judicial em duas ocasiões. Na primeira, o petista desinformou ao dizer que foi “absolvido pela ONU” (Organização das Nações Unidas), pois a entidade não tem poder para isso. Na realidade, o Comitê de Direitos Humanos da instituição emitiu um parecer em que afirma que o ex-mandatário teve direitos violados pela Operação Lava Jato.;;;;;;;Falso
Veículo apedrejado conduzia jornalistas, não apoiadores de Lula;https://www.aosfatos.org/noticias/veiculo-apedrejado-conduzia-jornalistas-nao-apoiadores-de-lula/;Aos Fatos;2022-09-01;;Um vídeo que circula nas redes sociais não mostra apoiadores do ex-presidente Luiz Inácio Lula da Silva (PT) sendo apedrejados em cima de um trio elétrico, como alegam postagens (veja aqui). As imagens retratam a agressão com bolas de lama e pedras a jornalistas que cobriam o encerramento da 83ª edição da Festa do Mastro, em Capela (SE), em julho deste ano.;;;;;;;Falso
Fala de Fabíola Cidral sobre provocação a Bolsonaro se refere a Tebet, não a Vera Magalhães;https://www.aosfatos.org/noticias/provocacao-a-bolsonaro-se-refere-a-tebet-nao-a-vera-magalhaes/;Aos Fatos;2022-08-31;;É falso que a jornalista Fabíola Cidral afirmou que a jornalista Vera Magalhães queria deixar o presidente Jair Bolsonaro (PL) nervoso com uma pergunta no debate presidencial do último domingo (28), como afirmam publicações nas redes (veja aqui). As postagens tiram de contexto um trecho em que Cidral fala sobre a estratégia da candidata Simone Tebet (MDB) para o debate, que foi promovido porBand, UOL,Folha de S.Pauloe TV Cultura.;;;;;;;Falso
Escultura de dedo gigante no Qatar não faz referência a amputações por roubos;https://www.aosfatos.org/noticias/escultura-dedo-gigante-qatar-nao-faz-referencia-a-amputacoes-por-roubos/;Aos Fatos;2022-08-30;;Uma escultura que representa um dedo gigante dourado, instalada em um mercado no Qatar, não faz referência a amputações como punição por roubos, como diz um vídeo que circula nas redes (veja aqui). A obra “Le Pouce” (francês para “o polegar”) é do artista plástico César Baldeccini, reproduz o dedo do próprio autor e tem cópias presentes em diversos países, como França e Coreia do Sul. Não há evidências de que a escultura tenha relação com a aplicação da lei islâmica, presente no código penal do Qatar e que, em alguns países, pode gerar condenações a amputação de membros em casos de roubo.;;;;;;;Falso
Lei eleitoral proíbe assinatura com número de candidato no caderno de votação;https://www.aosfatos.org/noticias/assinatura-numero-candidato-caderno-votacao/;Aos Fatos;2022-08-29;;Um vídeo que circula nas redes engana ao afirmar que é possível fazer uma auditoria paralela caso os eleitores anotem o número de seus candidatos ao lado das assinaturas no caderno de votação, documento público lavrado no dia da eleição (veja aqui). Além de não servir para totalizar votos, o procedimento pode ser enquadrado como falsificação de assinatura em documento público e, segundo o TSE (Tribunal Superior Eleitoral), também pode ser considerado propaganda eleitoral de boca de urna.;;;;;;;Falso
É falso que Globo deve R$ 10 bilhões em impostos;https://www.aosfatos.org/noticias/falso-globo-deve-10-bilhoes-impostos/;Aos Fatos;2022-08-25;;Não é verdade que a Globo deve R$ 10 bilhões em impostos, como afirmam publicações nas redes sociais (veja aqui). A dívida da empresa é estimada em R$ 341 milhões e, segundo a PGFN (Procuradoria-Geral da Fazenda Nacional), está em situação regular — o que faz com que a Globo não apareça na “lista de devedores”, na qual estão as empresas com pendências tributárias perante a União. A Globo negou ter débitos fiscais e afirmou que questiona cobranças da Receita Federal tanto em âmbito administrativo como no Judiciário.;;;;;;;Falso
É falso que Ratinho entrevistará Bolsonaro nesta quinta;https://www.aosfatos.org/noticias/e-falso-que-ratinho-entrevistara-bolsonaro-nesta-quinta/;Aos Fatos;2022-08-24;;O presidente da República e candidato à reeleição, Jair Bolsonaro (PL), não será entrevistado na quinta-feira (25) no Programa do Ratinho, do SBT, como afirmam postagens nas redes sociais (veja aqui). O próprio Ratinho, apelido do apresentador Carlos Massa, negou que o encontro com o presidente esteja previsto.;;;;;;;Falso
É falso que TSE admitiu ligação entre PT e PCC;https://www.aosfatos.org/noticias/e-falso-que-tse-admitiu-ligacao-entre-pt-e-pcc/;Aos Fatos;2022-08-23;;Não é verdade que o TSE (Tribunal Superior Eleitoral) concluiu que há ligação entre o PT e a facção criminosa PCC (Primeiro Comando da Capital), como diz o youtuber e candidato a deputado federal Gustavo Gayer (PL-GO) em vídeo nas redes sociais (veja aqui). Ao negar um pedido do PT para a exclusão de uma postagem do presidente Jair Bolsonaro (PL), a ministra Maria Claudia Bucchianeri não disse existir conexão entre o partido e o PCC, apenas afirmou que se tratava de um vídeo veiculado pelaRecord.;;;;;;;Falso
Audiência da Globo subiu após entrevista de Bolsonaro, segundo Kantar Ibope;https://www.aosfatos.org/noticias/ibope-audiencia-globo-bolsonaro-entrevista-jn/;Aos Fatos;2022-08-23;;Posts que circulam nas redes (veja aqui) enganam ao dizer que a audiência da Globo era de 17% antes da entrevista ao Jornal Nacional do presidente e candidato à reeleição, Jair Bolsonaro (PL), passou para 82% durante a transmissão e caiu para 16% depois do programa. Embora o texto não especifique a qual dado se refere, a emissora informou que os percentuais de TVs ligadas na Globo em São Paulo foram de 36% na novela antes do telejornal para 48% durante o JN, e subiram para 52% quando começou “Pantanal”.;;;;;;;Falso
Candidato, ex-ministro Pazuello mente sobre ‘tratamento precoce’ contra a Covid-19;https://www.aosfatos.org/noticias/candidato-pazuello-mente-sobre-tratamento-precoce-covid-19/;Aos Fatos;2022-08-19;;O ex-ministro da Saúde e candidato a deputado federal Eduardo Pazuello (PL-RJ) engana ao afirmar que o chamado “tratamento precoce” poderia ter evitado mortes contra a Covid-19 (veja aqui). Não há comprovação de que os medicamentos tenham eficácia contra a infecção causada pelo vírus. Pazuello também afirma que não existia um antiviral contra a doença quando era ministro, mas a Anvisa (Agência Nacional de Vigilância Sanitária) havia aprovado o uso do remdesivir quando ele ainda comandava a pasta.;;;;;;;Falso
Lula, Bolsonaro, Ciro e Tebet iniciam campanha com declarações falsas sobre economia;https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-tebet-campanha-economia/;Aos Fatos;2022-08-19;;Na primeira semana da campanha eleitoral, os presidenciáveis Luiz Inácio Lula da Silva (PT), Jair Bolsonaro (PL), Ciro Gomes (PDT) e Simone Tebet (MDB) deram declarações enganosas sobre temas econômicos e sociais.;;;;;;;Falso
Posts enganam ao dizer que Chauí tirou garrafa de cachaça de Lula;https://www.aosfatos.org/noticias/posts-enganam-ao-dizer-que-chaui-tirou-garrafa-de-cachaca-de-lula/;Aos Fatos;2022-08-18;;Não há evidências de que o ex-presidente Luiz Inácio Lula da Silva (PT) estivesse bêbado e com uma garrafa de cachaça em um ato político, e que a professora Marilena Chauí tirou o recipiente da sua mão para ele parar de beber, como afirmam postagens nas redes (veja aqui). O vídeo desinformativo corta o momento em que Chauí devolve para Lula a garrafa, já aberta. A assessoria de Lula negou que o ex-presidente estivesse alcoolizado no momento e disse que ele bebia água. As imagens foram registradas no dia 15 de agosto, em evento na USP, e não no dia 16.;;;;;;;Falso
Crítica de Jô Soares à Globo foi escrita em 1988, não recentemente;https://www.aosfatos.org/noticias/critica-de-jo-soares-a-globo-foi-escrita-em-1988-nao-recentemente/;Aos Fatos;2022-08-16;;É falso que um áudio em que se ouvem críticas de Jô Soares (1938–2022) à Globo foi gravado pouco antes de ele morrer, como dizem postagens nas redes sociais (veja aqui). A fala foi registrada em 1988, durante a cerimônia do Troféu Imprensa, no SBT, emissora onde ele trabalhava na época. Na ocasião, Jô Soares criticava José Bonifácio de Oliveira Sobrinho, o Boni, então diretor da Globo, por vetar comerciais dele e de outros artistas que trabalhavam nas suas peças teatrais.;;;;;;;Falso
No Roda Viva, Ciro Gomes erra sobre endividamento de estados e acesso à internet;https://www.aosfatos.org/noticias/checamos-ciro-gomes-roda-viva/;Aos Fatos;2022-08-15;;O candidato do PDT à Presidência da República, Ciro Gomes, citou nesta segunda-feira (15)ao Roda Viva, da TV Cultura, informações erradas sobre o endividamento dos estados e o acesso dos brasileiros à internet.;;;;;;;Falso
É falso que Bolsonaro não inaugurou nenhuma unidade de educação;https://www.aosfatos.org/noticias/bolsonaro-universidades-inauguradas/;Aos Fatos;2022-08-15;;É falso que o presidente Jair Bolsonaro (PL) não inaugurou nenhuma universidade ou escola técnica durante seu mandato, como afirmam postagens nas redes sociais (veja aqui). O governo federal abriu, desde o início do mandato do atual presidente, seis universidades federais e autorizou o funcionamento de 12 campi de educação profissional e tecnológica.;;;;;;;Falso
Vídeo que mostra recepção a Bolsonaro não é recente nem foi gravado em Goiânia;https://www.aosfatos.org/noticias/video-recepcao-bolsonaro-nao-e-recente-nem-foi-gravado-em-goiania/;Aos Fatos;2022-08-12;;Um vídeo que mostra o presidente Jair Bolsonaro (PL) em meio a uma multidão que canta “o capitão chegou” não foi registrado em Goiânia na última quinta-feira (11), como afirmam postagens nas redes sociais(veja aqui). As imagens foram gravadas em Santa Cruz do Capibaribe (PE), no dia 4 de setembro de 2021. O áudio com o cântico “o capitão chegou” foi inserido digitalmente sobre as imagens originais, que mostram gritos de “mito”.;;;;;;;Falso
Projeto de lei não criminaliza propagação do evangelho no Rio de Janeiro;https://www.aosfatos.org/noticias/projeto-de-lei-nao-criminaliza-evangelho-no-rio-de-janeiro/;Aos Fatos;2022-08-12;;Não é verdade que um PL (projeto de lei) aprovado na Alerj (Assembleia Legislativa do Rio de Janeiro) criminalize religiosos que propagam o evangelho, conforme é afirmado em vídeo disseminado nas redes sociais (veja aqui). O projeto citado proíbe o chamado assédio religioso, que é praticar, induzir ou incitar discriminação ou preconceito contra diferentes credos. A norma também não prevê prisão, como afirmam as postagens, e sim impõe um curso de conscientização no caso de servidores ou agentes públicos.;;;;;;;Falso
É falso que TSE fez propaganda para Lula em título de eleitor;https://www.aosfatos.org/noticias/e-falso-que-tse-fez-propaganda-para-lula-em-titulo-de-eleitor/;Aos Fatos;2022-08-12;;A Justiça Eleitoral não está fazendo propaganda para o ex-presidente Luiz Inácio Lula da Silva (PT) em títulos eleitorais, como afirmam postagens que circulam nas redes sociais (veja aqui). A imagem mostra um documento que foi impresso no Amapá que tem a palavra LULA em um código de autenticação composto por letras e números aleatórios, gerados de forma randômica, segundo o TSE (Tribunal Superior Eleitoral).;;;;;;;Falso
